Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
The Fast and the Furious: Tokyo Drift,2006,Justin Lin,Stephen F. Windon,Kelly Matsumoto|Dallas Puett|Fred Raskin,Ida Random,Chris Morgan,Neal H. Moritz,Lucas Black|Nathalie Kelley|Sung Kang|Shad Moss|Brian Tee|Leonardo Nam|Brian Goodman|Zachery Ty Bryan|Nikki Griffin|Jason Tobin,MP Munich Pape Filmproductions|Original Film|Relativity Media|Universal Pictures|Cine Bazar,Germany|Japan|United States of America,The Fast and the Furious: Tokyo Drift,9615,tt0463985,8.0
The Father,2020,Florian Zeller,Ben Smithard,Yorgos Lamprinos,Peter Francis,Florian Zeller|Christopher Hampton,David Parfitt|Jean-Louis Livi|Philippe Carcassonne|Christophe Spadone|Simon Friend,Anthony Hopkins|Olivia Colman|Mark Gatiss|Olivia Williams|Imogen Poots|Rufus Sewell|Ayesha Dharker|Roman Zeller,Les Films du Cru|Film4 Productions|F Comme Film|Trademark Films|Ciné-@,France|United Kingdom,The Father,600354,tt10272386,7.0
The Favourite,2018,Yorgos Lanthimos,Robbie Ryan,Yorgos Mavropsaridis,Fiona Crombie,Tony McNamara|Deborah Davis,Lee Magiday|Ceci Dempsey|Ed Guiney|Yorgos Lanthimos,Emma Stone|Olivia Colman|Rachel Weisz|Nicholas Hoult|Joe Alwyn|Mark Gatiss|James Smith|Jenny Rainsford|Emma Delves|Faye Daveney,Waypoint Entertainment|Element Pictures|Scarlet Films|Film4 Productions|Fox Searchlight Pictures|Fís Éireann/Screen Ireland|TSG Entertainment,Ireland|United Kingdom|United States of America,The Favourite,375262,tt5083738,7.0
The Florida Project,2017,Sean Baker,Alexis Zabé,Sean Baker,Stephonik Youth,Sean Baker|Chris Bergoch,Sean Baker|Kevin Chinoy|Francesca Silvestri|Alex Saks|Andrew Duncan|Tsou Shih-ching|Chris Bergoch,Brooklynn Prince|Bria Vinaite|Willem Dafoe|Christopher Rivera|Valeria Cotto|Mela Murder|Josie Olivo|Caleb Landry Jones|Aiden Malik|Edward Pagan,Cre Film|Freestyle Picture Company|June Pictures,United States of America,The Florida Project,394117,tt5649144,8.0
"The French Dispatch of the Liberty, Kansas Evening Sun",2021,Wes Anderson,Robert D. Yeoman,Andrew Weisblum,Adam Stockhausen,Wes Anderson|Jason Schwartzman|Roman Coppola|Hugo Guinness,Wes Anderson|Jeremy Dawson|Steven M. Rales,Benicio del Toro|Adrien Brody|Tilda Swinton|Léa Seydoux|Frances McDormand|Timothée Chalamet|Lyna Khoudri|Jeffrey Wright|Mathieu Amalric|Steve Park,Indian Paintbrush|American Empirical Pictures|Studio Babelsberg,United States of America|Germany,"The French Dispatch of the Liberty, Kansas Evening Sun",542178,tt8847712,9.0
The Game Changers,2019,Louie Psihoyos,John Behrens|Hunter Nolan,Stephanie Mechura Challberg|Dan Swietlik,,Joseph Pace|Mark Monroe,James Wilks|Joseph Pace,James Wilks|Arnold Schwarzenegger|Patrik Baboumian|Scott Jurek|Dotsie Bausch|Tia Blanco|Nimai Delgado|Rip Esselstyn,Diamond Docs|Oceanic Preservation Society|ReFuel Productions,United States of America,The Game Changers,463088,tt7455754,4.0
The Gentlemen,2020,Guy Ritchie,Alan Stewart,Paul Machliss|James Herbert,Gemma Jackson,Guy Ritchie|Ivan Atkinson|Marn Davies|Lauren Bond,Matthew McConaughey|Guy Ritchie|Ivan Atkinson|Bill Block,Matthew McConaughey|Charlie Hunnam|Michelle Dockery|Jeremy Strong|Lyne Renee|Colin Farrell|Henry Golding|Tom Wu|Chidi Ajufo|Hugh Grant,Miramax|Toff Guy Films|Coach Films|STXfilms,United Kingdom|United States of America,The Gentlemen,522627,tt8367814,8.0
The Girl with the Dragon Tattoo,2011,David Fincher,Jeff Cronenweth,Kirk Baxter|Angus Wall,Donald Graham Burt,Steven Zaillian,Ceán Chaffin|Scott Rudin|Søren Stærmose|Ole Søndberg,Daniel Craig|Rooney Mara|Christopher Plummer|Stellan Skarsgård|Robin Wright|Yorick van Wageningen|Steven Berkoff|Joely Richardson|Geraldine James|Goran Višnjić,Columbia Pictures|Metro-Goldwyn-Mayer|Scott Rudin Productions|Yellow Bird,Sweden|United States of America,The Girl with the Dragon Tattoo,65754,tt1568346,8.0
The Godfather,1972,Francis Ford Coppola,Gordon Willis,William Reynolds|Peter Zinner,Dean Tavoularis,Mario Puzo|Francis Ford Coppola,Albert S. Ruddy|Francis Ford Coppola|Robert Evans,Marlon Brando|Al Pacino|James Caan|Robert Duvall|Richard S. Castellano|Diane Keaton|Talia Shire|Gianni Russo|Sterling Hayden|John Marley,Paramount Pictures|Alfran Productions|ASR Productions,United States of America,The Godfather,238,tt0068646,8.0
The Godfather Part II,1974,Francis Ford Coppola,Gordon Willis,Barry Malkin|Richard Marks|Peter Zinner,Dean Tavoularis,Mario Puzo|Francis Ford Coppola,Francis Ford Coppola,Al Pacino|Robert Duvall|Diane Keaton|Robert De Niro|John Cazale|Talia Shire|Lee Strasberg|Michael V. Gazzo|G.D. Spradlin|Richard Bright,Paramount Pictures|The Coppola Company,United States of America,The Godfather Part II,240,tt0071562,8.0
The Graduate,1967,Mike Nichols,Robert Surtees,Sam O'Steen,Richard Sylbert,Calder Willingham|Buck Henry,Lawrence Turman,Dustin Hoffman|Anne Bancroft|Katharine Ross|Murray Hamilton|William Daniels|Elizabeth Wilson|Buck Henry|Brian Avery|Walter Brooke|Norman Fell,AVCO Embassy Pictures|Mike Nichols Productions|Lawrence Turman Productions,United States of America,The Graduate,37247,tt0061722,8.0
The Grand Budapest Hotel,2014,Wes Anderson,Robert D. Yeoman,Barney Pilling,Adam Stockhausen|Nathan Parker,Wes Anderson|Hugo Guinness,Wes Anderson|Steven M. Rales|Scott Rudin|Jeremy Dawson,Ralph Fiennes|F. Murray Abraham|Mathieu Amalric|Adrien Brody|Willem Dafoe|Jeff Goldblum|Harvey Keitel|Jude Law|Bill Murray|Edward Norton,Fox Searchlight Pictures|Studio Babelsberg|Indian Paintbrush|TSG Entertainment|American Empirical Pictures,United States of America|Germany,The Grand Budapest Hotel,120467,tt2278388,10.0
The Grapes of Wrath,1940,John Ford,Gregg Toland,Robert L. Simpson,,Nunnally Johnson,Darryl F. Zanuck,Henry Fonda|Jane Darwell|John Carradine|Charley Grapewin|Dorris Bowdon|Russell Simpson|O.Z. Whitehead|John Qualen|Eddie Quillan|Zeffie Tilbury,20th Century Fox,United States of America,The Grapes of Wrath,596,tt0032551,8.0
The Great Dictator,1940,Charlie Chaplin,Karl Struss|Roland Totheroh,Willard Nico,,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin|Paulette Goddard|Jack Oakie|Reginald Gardiner|Henry Daniell|Billy Gilbert|Grace Hayle|Carter DeHaven|Maurice Moscovitch|Emma Dunn,Charles Chaplin Productions,United States of America,The Great Dictator,914,tt0032553,9.0
The Great Escape,1963,John Sturges,Daniel L. Fapp,Ferris Webster,,James Clavell|W.R. Burnett,John Sturges|James Clavell,Steve McQueen|James Garner|Richard Attenborough|James Donald|Charles Bronson|Donald Pleasence|James Coburn|Hannes Messemer|David McCallum|Gordon Jackson,The Mirisch Company|United Artists,United States of America,The Great Escape,5925,tt0057115,8.0
The Great Gatsby,2013,Baz Luhrmann,Simon Duggan,Jonathan Redmond|Matt Villa|Jason Ballantine,Catherine Martin,Craig Pearce|Baz Luhrmann,Catherine Knapman|Catherine Martin|Baz Luhrmann|Lucy Fisher|Douglas Wick,Leonardo DiCaprio|Tobey Maguire|Carey Mulligan|Joel Edgerton|Elizabeth Debicki|Isla Fisher|Jason Clarke|Amitabh Bachchan|Callan McAuliffe|Adelaide Clemens,Warner Bros. Pictures|Village Roadshow Pictures|Bazmark|Red Wagon Entertainment|A+E Global Media,United States of America|Australia,The Great Gatsby,64682,tt1343092,8.0
The Great Hack,2019,Karim Amer|Jehane Noujaim,Basil Childers|Ian Moubayed,Erin Barnett|Carlos Rojas Felice,,Erin Barnett|Karim Amer|Pedro Kos,Karim Amer|Judy Korin|Geralyn White Dreyfous|Pedro Kos,Brittany Kaiser|David Carroll|Paul-Olivier Dehaye|Ravi Naik|Julian Wheatland|Carole Cadwalladr|Christopher Wiley|Paul Hilder|Emma Graham-Harrison|Gill Phillips,Noujaim Films|The Othrs,United States of America,The Great Hack,566222,tt4736550,8.0
The Greatest Showman,2017,Michael Gracey,Seamus McGarvey,Joe Hutshing|Robert Duffy|Michael McCusker|Spencer Susser|Jon Poll|Tom Cross,Nathan Crowley,Jenny Bicks|Bill Condon,Peter Chernin|Laurence Mark|Jenno Topping,Hugh Jackman|Zac Efron|Michelle Williams|Rebecca Ferguson|Zendaya|Keala Settle|Yahya Abdul-Mateen II|Natasha Liu Bordizzo|Paul Sparks|Sam Humphrey,Chernin Entertainment|20th Century Fox|TSG Entertainment,United States of America,The Greatest Showman,316029,tt1485796,7.0
The Green Knight,2021,David Lowery,Andrew Droz Palermo,David Lowery,Jade Healy,David Lowery,David Lowery|Toby Halbrooks|James M. Johnston|Tim Headington|Theresa Steele Page,Dev Patel|Alicia Vikander|Joel Edgerton|Sarita Choudhury|Sean Harris|Kate Dickie|Barry Keoghan|Erin Kellyman|Ralph Ineson|Emilie Hetland,A24|Bron Studios|Sailor Bear|Ley Line Entertainment|Wild Atlantic Pictures,Canada|Ireland|United States of America,The Green Knight,559907,tt9243804,7.0
The Green Mile,1999,Frank Darabont,David Tattersall,Richard Francis-Bruce,Terence Marsh,Frank Darabont,Frank Darabont|David Valdes,Tom Hanks|David Morse|Bonnie Hunt|Michael Clarke Duncan|James Cromwell|Michael Jeter|Graham Greene|Doug Hutchison|Sam Rockwell|Barry Pepper,Castle Rock Entertainment|Darkwoods Productions,United States of America,The Green Mile,497,tt0120689,9.0
The Hateful Eight,2015,Quentin Tarantino,Robert Richardson,Fred Raskin,Yohei Taneda,Quentin Tarantino,Richard N. Gladstein|Shannon McIntosh|Stacey Sher,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|Demián Bichir|Tim Roth|Michael Madsen|Bruce Dern|James Parks|Dana Gourrier,The Weinstein Company|Double Feature Films|FilmColony,United States of America,The Hateful Eight,273248,tt3460252,6.0
The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,Igor Jadue-Lillo,Niven Howie,Joel Collins,Karey Kirkpatrick|Douglas Adams,Gary Barber|Jay Roach|Nick Goldsmith|Roger Birnbaum|Jonathan Glickman,Martin Freeman|Yasiin Bey|Zooey Deschanel|Sam Rockwell|Alan Rickman|Anna Chancellor|Bill Nighy|Richard Griffiths|John Malkovich|Helen Mirren,Spyglass Entertainment|Everyman Pictures|Hammer & Tongs|Touchstone Pictures,United Kingdom|United States of America,The Hitchhiker's Guide to the Galaxy,7453,tt0371724,6.0
The Hudsucker Proxy,1994,Joel Coen,Roger Deakins,Thom Noble,Dennis Gassner,Sam Raimi|Ethan Coen|Joel Coen,Ethan Coen,Tim Robbins|Jennifer Jason Leigh|Paul Newman|Charles Durning|Jim True-Frost|John Mahoney|Bill Cobbs|Bruce Campbell|Harry Bugin|John Seitz,Warner Bros. Pictures|PolyGram Filmed Entertainment|Silver Pictures|Working Title Films,United Kingdom|United States of America,The Hudsucker Proxy,11934,tt0110074,7.0
The Hurricane,1999,Norman Jewison,Roger Deakins,Stephen E. Rivkin,Philip Rosenberg,Armyan Bernstein|Dan Gordon,Norman Jewison|Armyan Bernstein|John Ketcham,Denzel Washington|Vicellous Shannon|Deborah Kara Unger|Liev Schreiber|John Hannah|Dan Hedaya|Debbi Morgan|Clancy Brown|David Paymer|Harris Yulin,Beacon Pictures|Rudy Langlois Productions|Azoff Films,United States of America,The Hurricane,10400,tt0174856,6.0
The Ides of March,2011,George Clooney,Phedon Papamichael,Stephen Mirrione,Sharon Seymour,Beau Willimon|Grant Heslov|George Clooney,George Clooney|Brian Oliver|Grant Heslov,Ryan Gosling|George Clooney|Philip Seymour Hoffman|Paul Giamatti|Evan Rachel Wood|Marisa Tomei|Jeffrey Wright|Max Minghella|Jennifer Ehle|Gregory Itzin,Appian Way|Crystal City Entertainment|Cross Creek Pictures|Exclusive Media|Smokehouse Pictures,United States of America,The Ides of March,10316,tt1124035,9.0
The Imitation Game,2014,Morten Tyldum,Óscar Faura,William Goldenberg,Maria Djurkovic,Graham Moore,Nora Grossman|Ido Ostrowsky|Teddy Schwarzman,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech|Matthew Beard|Charles Dance|Mark Strong|James Northcote|Tom Goodman-Hill,Bristol Automotive|Black Bear Pictures|FilmNation Entertainment,United States of America|United Kingdom,The Imitation Game,205596,tt2084970,7.0
The Imposter,2012,Bart Layton,Erik Wilson|Lynda Hall,Andrew Hulme,,Bart Layton,Dimitri Doganis,Frédéric Bourdin|Adam O'Brian|Anna Ruben|Cathy Dresbach|Alan Teichman|Iván Villanueva|María Jesús Hoyos|Ken Appledorn|Mary Twala|Seipati Motshwane,RAW|Red Box Films|Passion Pictures|Film4 Productions,United Kingdom|United States of America,The Imposter,84287,tt1966604,9.0
The Incredibles,2004,Brad Bird,Patrick Lin|Andrew Jimenez|Janet Lucroy,Stephen Schaffer,Lou Romano,Brad Bird,John Walker,Craig T. Nelson|Holly Hunter|Sarah Vowell|Spencer Fox|Jason Lee|Samuel L. Jackson|Elizabeth Peña|Eli Fucile|Maeve Andrews|Brad Bird,Pixar,United States of America,The Incredibles,9806,tt0317705,9.0
The Insider,1999,Michael Mann,Dante Spinotti,William Goldenberg|David Rosenbloom|Paul Rubell,Brian Morris,Eric Roth|Michael Mann,Pieter Jan Brugge|Michael Mann,Al Pacino|Russell Crowe|Christopher Plummer|Diane Venora|Philip Baker Hall|Lindsay Crouse|Debi Mazar|Stephen Tobolowsky|Colm Feore|Bruce McGill,Touchstone Pictures|Mann/Roth Productions|Forward Pass,United States of America,The Insider,9008,tt0140352,8.0
The Interview,2014,Evan Goldberg|Seth Rogen,Brandon Trost,Evan Henke|Zene Baker,Jon Billington,Dan Sterling|Evan Goldberg|Seth Rogen,Evan Goldberg|Seth Rogen|James Weaver,James Franco|Seth Rogen|Lizzy Caplan|Randall Park|Diana Bang|Timothy Simons|Reese Alexander|James Yi|Paul Bae|Geoff Gustafson,Point Grey Pictures|Columbia Pictures|LStar Capital,United States of America,The Interview,228967,tt2788710,5.0
The Irishman,2019,Martin Scorsese,Rodrigo Prieto,Thelma Schoonmaker,Bob Shaw,Steven Zaillian,Gastón Pavlovich|Randall Emmett|Emma Tillinger Koskoff|Jane Rosenthal|Irwin Winkler|Robert De Niro|Troy Allen|Martin Scorsese|Gerald Chamales|Gabriele Israilovici,Robert De Niro|Al Pacino|Joe Pesci|Harvey Keitel|Ray Romano|Bobby Cannavale|Anna Paquin|Stephen Graham|Stephanie Kurtzuba|Jack Huston,Tribeca Productions|Sikelia Productions|Winkler Films,United States of America,The Irishman,398978,tt1302006,3.0
The Iron Giant,1999,Brad Bird,Steven Wilzbach,Darren T. Holmes,Mark Whiting,Tim McCanlies|Brad Bird,Allison Abbate|Des McAnuff,Jennifer Aniston|Harry Connick Jr.|Vin Diesel|James Gammon|Cloris Leachman|Christopher McDonald|John Mahoney|Eli Marienthal|M. Emmet Walsh|Jack Angel,Warner Bros. Feature Animation,United States of America,The Iron Giant,10386,tt0129167,9.0
The Kid,1921,Charlie Chaplin,Roland Totheroh,Charlie Chaplin,,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin|Jackie Coogan|Carl Miller|Edna Purviance|Albert Austin|Beulah Bains|Nellie Bly Baker|Henry Bergman|Edward Biby|B.F. Blinn,Charles Chaplin Productions,United States of America,The Kid,10098,tt0012349,7.0
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,Thimios Bakatakis,Yorgos Mavropsaridis,Jade Healy,Yorgos Lanthimos|Efthimis Filippou,Ed Guiney|Yorgos Lanthimos,Colin Farrell|Nicole Kidman|Barry Keoghan|Raffey Cassidy|Sunny Suljic|Bill Camp|Alicia Silverstone|Herb Caillouet|Barry G. Bernson|Denise Dal Vera,Element Pictures|TPC|Film4 Productions|New Sparta Films|Limp|HanWay Films|Fís Éireann/Screen Ireland,United Kingdom|United States of America|Ireland,The Killing of a Sacred Deer,399057,tt5715874,8.0
The Last Airbender,2010,M. Night Shyamalan,Andrew Lesnie,Conrad Buff IV,Philip Messina,M. Night Shyamalan,Sam Mercer|M. Night Shyamalan|Frank Marshall,Noah Ringer|Dev Patel|Nicola Peltz|Jackson Rathbone|Shaun Toub|Aasif Mandvi|Cliff Curtis|Seychelle Gabriel|Katharine Houghton|Francis Guinan,Paramount Pictures|Nickelodeon Movies|Blinding Edge Pictures|The Kennedy/Marshall Company,United States of America,The Last Airbender,10196,tt0938283,2.0
The Lego Movie,2014,Phil Lord|Christopher Miller,Pablo Plaisted|Barry Peterson,David Burrows|Chris McKay,Grant Freckelton,Phil Lord|Christopher Miller|Kevin Hageman|Dan Hageman,Dan Lin|Roy Lee,Chris Pratt|Elizabeth Banks|Will Ferrell|Morgan Freeman|Will Arnett|Liam Neeson|Alison Brie|Nick Offerman|Charlie Day|Jadon Sand,Lin Pictures|Vertigo Entertainment|Village Roadshow Pictures|The LEGO Group|Animal Logic|Warner Animation Group|RatPac Entertainment,United States of America|Denmark|Australia,The Lego Movie,137106,tt1490017,8.0
The Lego Movie 2: The Second Part,2019,Mike Mitchell,,Clare Knight,Patrick Marc Hanenberger,Phil Lord|Christopher Miller|Matthew Fogel,Jinko Gotoh|Phil Lord|Christopher Miller|Roy Lee|Dan Lin,Chris Pratt|Elizabeth Banks|Will Arnett|Tiffany Haddish|Stephanie Beatriz|Alison Brie|Nick Offerman|Charlie Day|Maya Rudolph|Will Ferrell,Vertigo Entertainment|Warner Animation Group|Lord Miller|Rideback|The LEGO Group|Animal Logic,Canada|Denmark|United States of America,The Lego Movie 2: The Second Part,280217,tt3513498,6.0
The Life Aquatic with Steve Zissou,2004,Wes Anderson,Robert D. Yeoman,David Moritz,Mark Friedberg,Noah Baumbach|Wes Anderson,Wes Anderson|Barry Mendel|Scott Rudin,Bill Murray|Owen Wilson|Cate Blanchett|Anjelica Huston|Willem Dafoe|Jeff Goldblum|Michael Gambon|Noah Taylor|Bud Cort|Seu Jorge,American Empirical Pictures|Touchstone Pictures,United States of America,The Life Aquatic with Steve Zissou,421,tt0362270,7.0
The Life of Chuck,2025,Mike Flanagan,Eben Bolter,Mike Flanagan,Steve Arnold,Mike Flanagan,Trevor Macy|Mike Flanagan,Tom Hiddleston|Benjamin Pajak|Nick Offerman|Chiwetel Ejiofor|Karen Gillan|Mia Sara|Mark Hamill|Annalise Basso|Jacob Tremblay|Cody Flanagan,Intrepid Pictures|Red Room Pictures|QWGmire|FilmNation Entertainment,United States of America,The Life of Chuck,842924,tt12908150,9.0
The Lighthouse,2019,Robert Eggers,Jarin Blaschke,Louise Ford,Craig Lathrop,Max Eggers|Robert Eggers,Youree Henley|Jay Van Hoy|Lourenço Sant'Anna|Rodrigo Teixeira|Robert Eggers,Robert Pattinson|Willem Dafoe|Valeriia Karaman|Logan Hawkes|Kyla Nicolle|Shaun Clarke|Pierre Richard|Preston Hudson|Jeff Cruts|Sully Seagull,RT Features|Parts & Labor|A24|Regency Enterprises,Brazil|United States of America,The Lighthouse,503919,tt7984734,8.0
The Lion King,1994,Roger Allers|Rob Minkoff,,Ivan Bilancio,Chris Sanders,Linda Woolverton|Irene Mecchi|Jonathan Roberts|Rick Maki|Andrew Gaskill|Kevin Harkey|Chris Sanders|Larry Leker|Ed Gombert|Burny Mattinson|Lorna Cook|Joe Ranft|Jørgen Klubien|Tom Sito|Mark Kausler|Jim Capobianco|Francis Glebas|Barry Johnson|Thom Enriquez|Gary Trousdale,Don Hahn,Matthew Broderick|Moira Kelly|Nathan Lane|Ernie Sabella|James Earl Jones|Jeremy Irons|Robert Guillaume|Rowan Atkinson|Jonathan Taylor Thomas|Niketa Calame-Harris,Walt Disney Pictures|Walt Disney Feature Animation,United States of America,The Lion King,8587,tt0110357,6.0
The Lobster,2015,Yorgos Lanthimos,Thimios Bakatakis,Yorgos Mavropsaridis,Jacqueline Abrahams,Efthimis Filippou|Yorgos Lanthimos,Ceci Dempsey|Lee Magiday|Yorgos Lanthimos|Ed Guiney,Colin Farrell|Rachel Weisz|Olivia Colman|Léa Seydoux|Michael Smiley|Ariane Labed|John C. Reilly|Ben Whishaw|Angeliki Papoulia|Jessica Barden,Scarlet Films|Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film|Greek Film Centre|Faliro House Productions|Limp|Film4 Productions|Protagonist Pictures,France|Greece|Ireland|Netherlands|United Kingdom,The Lobster,254320,tt3464902,9.0
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,Akiva Schaffer|Mike Diva,Aaron Grasso,Dan Packer|Akiva Schaffer|Mike Diva,Terry Watson,Akiva Schaffer|Andy Samberg|Jorma Taccone,,Andy Samberg|Akiva Schaffer|Jorma Taccone|Hannah Simone|Jenny Slate|Sterling K. Brown|Jim O'Heir|Stephanie Beatriz|Alana Haim|Este Haim,Lord Danger|The Lonely Island,United States of America,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,604196,tt10376068,7.0
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,Andrew Lesnie,John Gilbert,Grant Major,Peter Jackson|Fran Walsh|Philippa Boyens,Peter Jackson|Barrie M. Osborne|Tim Sanders|Fran Walsh,Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Ian Holm|Liv Tyler|Christopher Lee|Sean Bean|Billy Boyd|Dominic Monaghan,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Zealand|United States of America,The Lord of the Rings: The Fellowship of the Ring,120,tt0120737,9.0
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Andrew Lesnie,Jamie Selkirk,Grant Major,Peter Jackson|Philippa Boyens|Fran Walsh,Peter Jackson|Barrie M. Osborne|Fran Walsh,Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Andy Serkis|Dominic Monaghan|Billy Boyd|John Noble|David Wenham|Miranda Otto,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Zealand|United States of America,The Lord of the Rings: The Return of the King,122,tt0167260,9.0
The Lord of the Rings: The Two Towers,2002,Peter Jackson,Andrew Lesnie,Michael Horton,Grant Major,Stephen Sinclair|Philippa Boyens|Peter Jackson|Fran Walsh,Peter Jackson|Barrie M. Osborne|Fran Walsh,Elijah Wood|Ian McKellen|Viggo Mortensen|Sean Astin|Andy Serkis|John Rhys-Davies|Orlando Bloom|Bernard Hill|Miranda Otto|Dominic Monaghan,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Zealand|United States of America,The Lord of the Rings: The Two Towers,121,tt0167261,9.0
The Lost Weekend,1945,Billy Wilder,John F. Seitz,Doane Harrison,,Charles Brackett|Billy Wilder,Charles Brackett,Ray Milland|Jane Wyman|Phillip Terry|Howard Da Silva|Doris Dowling|Frank Faylen|Mary Young|Anita Sharp-Bolster|Lilian Fontaine|Frank Orth,Paramount Pictures,United States of America,The Lost Weekend,28580,tt0037884,4.0
The Love Witch,2016,Anna Biller,M. David Mullen,Anna Biller,Anna Biller,Anna Biller,Anna Biller,Samantha Robinson|Gian Keys|Laura Waddell|Jeffrey Vincent Parise|Jared Sanford|Robert Seeley|Jennifer Ingrum|Randy Evans|Clive Ashborn|Lily Holleman,Anna Biller Productions,United States of America,The Love Witch,374052,tt3908142,4.0
The Luckiest Man in America,2025,Samir Oliveros,Pablo Lozano,Sebastian Hernandez,Lulú Salgado,Samir Oliveros|Maggie Briggs|Amanda Freedman,Amanda Freedman,Paul Walter Hauser|Walton Goggins|Shamier Anderson|David Strathairn|Brian Geraghty|Patti Harrison|Maisie Williams|Ricky Russert|David Rysdahl|Shaunette Renée Wilson,Plenty Good|Tucci & Company|Jaguar Bite|Fabula,United States of America|Chile|Colombia,The Luckiest Man in America,1288070,tt32331377,7.0
The Maltese Falcon,1941,John Huston,Arthur Edeson,Thomas Richards,,John Huston,,Humphrey Bogart|Mary Astor|Gladys George|Peter Lorre|Barton MacLane|Lee Patrick|Sydney Greenstreet|Ward Bond|Jerome Cowan|Elisha Cook Jr.,Warner Bros. Pictures,United States of America,The Maltese Falcon,963,tt0033870,8.0
The Man from U.N.C.L.E.,2015,Guy Ritchie,John Mathieson,James Herbert,Oliver Scholl,Lionel Wigram|Guy Ritchie|David C. Wilson|Jeff Kleeman,Steve Clark-Hall|John Davis|Lionel Wigram|Guy Ritchie,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani|Sylvester Groth|Hugh Grant|Jared Harris|Christian Berkel|Misha Kuznetsov,Wigram Productions|Davis Entertainment|RatPac Entertainment|Warner Bros. Pictures,United States of America,The Man from U.N.C.L.E.,203801,tt1638355,7.0
The Man Who Wasn't There,2001,Joel Coen,Roger Deakins,Tricia Cooke|Ethan Coen|Joel Coen,Dennis Gassner,Joel Coen|Ethan Coen,Ethan Coen|Joel Coen,Billy Bob Thornton|Frances McDormand|Michael Badalucco|James Gandolfini|Katherine Borowitz|Jon Polito|Scarlett Johansson|Richard Jenkins|Tony Shalhoub|Christopher Kriesa,USA Films|Working Title Films|Mike Zoss Productions,United Kingdom|United States of America,The Man Who Wasn't There,10778,tt0243133,9.0
The Martian,2015,Ridley Scott,Dariusz Wolski,Pietro Scalia,Arthur Max,Drew Goddard,Aditya Sood|Simon Kinberg|Ridley Scott|Mark Huffam|Michael Schaefer,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael Peña|Sean Bean|Kate Mara|Sebastian Stan|Aksel Hennie|Chiwetel Ejiofor,Genre Films|TSG Entertainment|20th Century Fox|Scott Free Productions,United States of America,The Martian,286217,tt3659388,8.0
The Master,2012,Paul Thomas Anderson,Mihai Malaimare Jr.|Barry Idoine,Leslie Jones|Peter McNulty,David Crank|Jack Fisk,Paul Thomas Anderson,Daniel Lupi|Megan Ellison|Paul Thomas Anderson|JoAnne Sellar,Joaquin Phoenix|Philip Seymour Hoffman|Amy Adams|Rami Malek|Laura Dern|Jesse Plemons|Ambyr Childers|Madisen Beaty|Kevin J. O'Connor|Patty McCormack,Annapurna Pictures|Ghoulardi Film Company|JoAnne Sellar Productions,United States of America,The Master,68722,tt1560747,7.0
The Matrix,1999,Lana Wachowski|Lilly Wachowski,Bill Pope,Zach Staenberg,Owen Paterson,Lana Wachowski|Lilly Wachowski,Joel Silver,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Gloria Foster|Joe Pantoliano|Marcus Chong|Julian Arahanga|Matt Doran|Belinda McClory,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros. Pictures,United States of America,The Matrix,603,tt0133093,9.0
The Men Who Stare at Goats,2009,Grant Heslov,Robert Elswit,Tatiana S. Riegel,Sharon Seymour,Peter Straughan,Paul Lister|Grant Heslov|George Clooney,George Clooney|Ewan McGregor|Jeff Bridges|Kevin Spacey|Robert Patrick|Stephen Lang|Waleed Zuaiter|Stephen Root|Glenn Morshower|Nick Offerman,Ruby Films|BBC Film|Smokehouse Pictures|Overture Films|UK Film Council|Mandate International,United Kingdom|United States of America,The Men Who Stare at Goats,10313,tt1234548,8.0
